lemma,Norval_frame,UD_frame,example,theta1,theta2,theta3,theta4
ulme,intr,nsubj,glørne ulmer,theme,,,
ulme,intr,nsubj,kubben ulmer,patient,,,
ulme,intr,nsubj,nederlaget ulmer,stimulus,,,
ulovliggjøre,tr,nsubj-obj,de ulovliggjør demonstrasjoner,agent,theme,,
ulovliggjøre,tr,nsubj-obj,lovverket ulovliggjør demonstrasjoner,pivot,topic,,
ulykkesforsikre,tr,nsubj-obj,de ulykkesforsikrer familien,agent,theme,,
ulykkesforsikre,tr-obRefl,nsubj-obj,hun ulykkesforsikrer seg,agent,theme,,
umake-med,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,de umaker seg med å gjøre det pent,agent,null-role,theme,
umake-med,trObl-obRefl-oblN,nsubj-obj-obl,hun umaker seg med arbeidet,agent,null-role,theme,
umake,tr,nsubj-obj,vi umaker byråkratene,stimulus,experiencer,,
umake,tr-obRefl,nsubj-obj,hun umaker seg,agent,null-role,,
umenneskeliggjøre,tr,nsubj-obj,de umenneskeliggjør demonstrantene,agent,patient,,
umenneskeliggjøre,tr,nsubj-obj,reklamen umenneskeliggjør demonstrantene,cause,patient,,
umuliggjøre,trExpnOb-expnAbsinf,nsubj-expl-xcomp,de umuliggjør det å finne en fredsplan,cause,formal,patient,
umuliggjøre,trExpnOb-expnAbsinf,nsubj-expl-xcomp,forholdene umuliggjør det å finne en fredsplan,agent,formal,patient,
umuliggjøre,trExpnOb-expnDECL,nsubj-expl-ccomp,de umuliggjør det at vi kan finne en fredsplan,cause,formal,patient,
umuliggjøre,trExpnOb-expnDECL,nsubj-expl-ccomp,forholdene umuliggjør det at vi kan finne en fredsplan,agent,formal,patient,
umuliggjøre,tr,nsubj-obj,de umuliggjør planene,agent,patient,,
umuliggjøre,tr,nsubj-obj,været umuliggjør planene,cause,patient,,
umuliggjøre,tr-obAbsinf,nsubj-xcomp,de umuliggjør å finne en fredsplan,agent,patient,,
umuliggjøre,tr-obAbsinf,nsubj-xcomp,forholdene umuliggjør å finne en fredsplan,cause,patient,,
umuliggjøre,tr-obDECL,nsubj-ccomp,de umuliggjør at det kan bli fred,agent,patient,,
umuliggjøre,tr-obDECL,nsubj-ccomp,forholdene umuliggjør at det kan bli fred,cause,patient,,
umyndiggjøre,tr,nsubj-obj,de umyndiggjør beboerne,agent,patient,,
umyndiggjøre,tr,nsubj-obj,dommen umyndiggjør beboerne,cause,patient,,
underbefolke,tr,nsubj-obj,de underbefolker boområdene,agent,destination,,
underbemanne,tr,nsubj-obj,de underbemanner festningen,agent,destination,,
underbetale,tr,nsubj-obj,de underbetaler snekkerne,agent,recipient,,
underbinde,tr,nsubj-obj,de underbinder blodåren,agent,patient,,
underbringe,tr,nsubj-obj,bygdefolket underbringer soldatene,stimulus,experiencer,,
underbygge-med,trObl-oblDECL,nsubj-obj-advcl,vi underbygger argumentasjonen med at dette har vært lov tidligere,agent,theme,instrument,
underbygge-med,trObl-oblINTERR,nsubj-obj-advcl,vi underbygger argumentasjonen med hva grunnloven bestemmer,agent,theme,instrument,
underbygge-med,trObl-oblN,nsubj-obj-obl,vi underbygger påstanden med argumenter,agent,theme,instrument,
underbygge,tr,nsubj-obj,de underbygger argumentasjonen,agent,theme,,
underby,intr,nsubj,selgerne underbyr,agent,,,
underby,tr,nsubj-obj,selgerne underbyr hverandre,agent,co-agent,,
underdimensjonere,tr,nsubj-obj,de underdimensjonerer broen,agent,theme,,
underdrive,intr,nsubj,ledelsen underdriver,agent,,,
underdrive,tr,nsubj-obj,ledelsene underdriver problemene,agent,topic,,
undereksponere,tr,nsubj-obj,ledelsen undereksponerer problemene,agent,theme,,
underernære,tr,nsubj-obj,de underernærer fangene,agent,patient,,
underernære,tr,nsubj-obj,forholdene underernærer fangene,cause,patient,,
underfinansiere,tr,nsubj-obj,de underfinansierer utbyggingen,agent,theme,,
underforsikre,tr,nsubj-obj,de underforsikrer deltagerne,agent,theme,,
underforstå,tr,nsubj-obj,vi underforstår poenget,experiencer,stimulus,,
underforstå,tr-obDECL,nsubj-ccomp,vi underforstår at alt etterpå vil bli normalt,agent,theme,,
underforstå,tr-obINTERR,nsubj-ccomp,vi underforstår hvorvidt alt etterpå vil bli normalt,agent,theme,,
undergi,ditr-iobRefl,nsubj-iobj-obj,han undergir seg befalingen,agent,null-role,theme,
undergi,ditr,nsubj-iobj-obj,fogden undergir oss kongen,cause,theme,recipient,
undergi,ditr,nsubj-iobj-obj,hun undergir teksten en ekstra gjennomgang,agent,beneficiary,theme,
undergi,ditr,nsubj-iobj-obj,kontrakten undergir oss selskapet,cause,theme,recipient,
undergjære,intr,nsubj,ølet undergjærer,patient,,,
undergjære,tr,nsubj-obj,de undergjærer ølet,agent,patient,,
undergjære,tr,nsubj-obj,mangelen på sukker undergjærer ølet,cause,patient,,
undergrave,tr,nsubj-obj,den nye loven undergraver bestemmelsene,pivot,topic,,
undergrave,tr,nsubj-obj,de undergraver bestemmelsene,agent,theme,,
undergå,tr,nsubj-obj,firmaet undergår en forandring,patient,theme,,
underhandle,intr,nsubj,partene underhandler,agent,,,
underhandle-med,intrObl-oblN,nsubj-obl,vi underhandler med opprørerne,agent,co-agent,,
underhandle-med-om,intrObl2-obl1N-obl2EqSuInf,nsubj-obl-advcl,vi underhandler med dem om å få visse fordeler,agent,co-agent,topic,
underhandle-med-om,intrObl2-obl1N-obl2INTERR,nsubj-obl-xcomp,vi underhandler med dem om hvorvidt vi kan få visse fordeler,agent,co-agent,topic,
underhandle-med-om,intrObl2-obl1N-obl2N,nsubj-obl-obl,vi underhandler med dem om fordeler,agent,co-agent,topic,
underhandle-om,intrObl-oblEqSuInf,nsubj-advcl,vi underhandler om å få visse fordeler,agent,topic,,
underhandle-om,intrObl-oblINTERR,nsubj-advcl,vi underhandler om hvorvidt vi kan få visse fordeler,agent,topic,,
underholde-med,trObl-oblEqSuInf,nsubj-obj-advcl,vi underholder dem med å vise gamle filmer,stimulus,experiencer,instrument,
underholde-med,trObl-oblN,nsubj-obj-obl,vi underholder dem med gamle filmer,stimulus,experiencer,instrument,
underholde-med,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun underholder seg med å høre på dem,experiencer,null-role,stimulus,
underholde-med,trObl-obRefl-oblN,nsubj-obj-obl,hun underholder seg med filmene,experiencer,null-role,stimulus,
underholde,tr,nsubj-obj,vi underholder deltagerne,stimulus,experiencer,,
underinformere,tr,nsubj-obj,ledelsen underinformerer de ansatte,agent,recipient,,
underinndele-i,trObl-oblN,nsubj-obj-obl,de underinndeler kategorien i tre underkategorier,agent,theme,goal,
underinndele,tr,nsubj-obj,de underinndeler kategorien,agent,theme,,
underkaste,ditr-iobRefl,nsubj-iobj-obj,de underkaster seg makthaverne,agent,null-role,theme,
underkaste,ditr,nsubj-iobj-obj,de underkaster firmaet sterke innsparinger,agent,beneficiary,theme,
underkaste,ditr,nsubj-iobj-obj,økonomien underkaster firmaet sterke innsparinger,cause,beneficiary,theme,
underkjenne,tr,nsubj-obj,de underkjenner vedtaket,agent,theme,,
underkjøle,tr,nsubj-obj,forskerne underkjøler vannet,agent,patient,,
underkjøle,tr,nsubj-obj,temperaturen underkjøler regnet,cause,patient,,
underklassifisere-i,trObl-oblN,nsubj-obj-obl,de underklassifiserer artsbetegnelsen i tre underklasser,agent,theme,goal,
underklassifisere,tr,nsubj-obj,de underklassifiserer artsbetegnelsene,agent,theme,,
underkommunisere,intr,nsubj,ledelsen underkommuniserer,agent,,,
underkommunisere,tr,nsubj-obj,de underkommuniserer betydningen,agent,topic,,
underkommunisere,tr-obINTERR,nsubj-ccomp,de underkommuniserer hva dette kan ha å si,agent,topic,,
underkue,tr,nsubj-obj,de underkuer landsbyboerne,agent,patient,,
underlegge,ditr-iobRefl,nsubj-iobj-obj,kongen underlegger seg byen,agent,null-role,patient,
underlegge,ditr,nsubj-iobj-obj,baronen underlegger byen nye landområder,agent,recipient,theme,
underlegge,ditr,nsubj-iobj-obj,domstolen underlegger byen nye landområder,agent,beneficiary,theme,
underlegge,ditr,nsubj-iobj-obj,greven underlegger byen en annen konge,agent,theme,recipient,
underlegge,ditr,nsubj-iobj-obj,vedtaket underlegger byen de nye lovene,cause,theme,recipient,
underlegge,ditr,nsubj-iobj-obj,vedtaket underlegger byen nye landområder,cause,recipient,theme,
underlette,tr,nsubj-obj,loven underletter nye initiativer,pivot,theme,,
underlette,tr,nsubj-obj,regjeringen underletter nye initiativer,agent,beneficiary,,
underlisensiere,tr,nsubj-obj,de underlisensierer operatørene,agent,theme,,
underminere,tr,nsubj-obj,de nye lovene underminerer avtalen,cause,patient,,
underminere,tr,nsubj-obj,kjeltringen underminerer avtalen,agent,theme,,
underopplyse,tr,nsubj-obj,makthaverne underopplyser befolkningen,agent,recipient,,
underordne,ditr-iobRefl,nsubj-iobj-obj,hun underordner seg direktivene,agent,null-role,theme,
underordne,ditr,nsubj-iobj-obj,den nye loven underordner Danmark Grønland,cause,theme,co-theme,
underordne,ditr,nsubj-iobj-obj,de underordner Danmark Grønland,agent,theme,co-theme,
underordne-under,trObl-obRefl-oblN,nsubj-obj-obl,befolkningen underordner seg under de nye makthaverne,agent,theme,,
underprestere,intr,nsubj,laget underpresterer,agent,,,
underprise,tr,nsubj-obj,butikkene underpriser varene,agent,theme,,
underprodusere,tr,nsubj-obj,vi underproduserer stål,agent,result,,
underrapportere,tr,nsubj-obj,de underrapporterer begivenhetene,agent,topic,,
underrapportere,tr-obINTERR,nsubj-ccomp,de underrapporterer hva begivenhetene kan innebære,agent,topic,,
underrepresentere,tr,nsubj-obj,de underrepresenterer befolkningen,theme,co-theme,,
underrette-om,intrObl-oblDECL,nsubj-advcl,hun underretter om at vi kommer,agent,topic,,
underrette-om,intrObl-oblINTERR,nsubj-advcl,hun underretter om hvorvidt vi kommer,agent,topic,,
underrette-om,intrObl-oblN,nsubj-obl,vi underretter om problemet,agent,topic,,
underrette-om,trObl-oblDECL,nsubj-obj-advcl,vi underretter dem om at problemet består,agent,recipient,topic,
underrette-om,trObl-oblINTERR,nsubj-obj-advcl,hun underretter dem om hvorvidt vi kommer,agent,recipient,topic,
underrette-om,trObl-oblN,nsubj-obj-obl,vi underretter dem om problemet,agent,recipient,topic,
underrette,tr,nsubj-obj,de underretter dommeren,agent,recipient,,
underselge,tr,nsubj-obj,de underselger nyheten,agent,theme,,
underskride,tr,nsubj-obj,de underskrider beløpsgrensen,pivot,theme,,
underskrive,tr,nsubj-obj,de underskriver kontrakten,agent,destination,,
underskru,tr,nsubj-obj,hun underskrur ballen,agent,theme,,
underskru,tr,nsubj-obj,vinden underskrur ballen,cause,theme,,
underslå-fra,trObl-oblN,nsubj-obj-obl,de underslår penger fra firmaet,agent,theme,source,
underslå-fra,trObl-oblN,nsubj-obj-obl,de underslår penger fra skatteetaten,agent,patient,beneficiary,
underslå,tr,nsubj-obj,de underslår pengene,agent,patient,,
underslå,tr,nsubj-obj,de underslår pengene,agent,theme,,
underslå,tr-obDECL,nsubj-ccomp,vi underslår at problemet består,agent,patient,,
underspesifisere,tr,nsubj-obj,de underspesifiserer kravene,agent,topic,,
underspesifisere,tr,nsubj-obj,instruksen underspesifiserer kravene,pivot,topic,,
underspesifisere,tr-obINTERR,nsubj-ccomp,de underspesifiserer hva som må gjøres først,agent,topic,,
underspesifisere,tr-obINTERR,nsubj-ccomp,instruksen underspesifiserer hva som må gjøres først,pivot,topic,,
underspille,intr,nsubj,skuespilleren underspiller,agent,,,
understellsbehandle,tr,nsubj-obj,de understellsbehandler bilen,agent,patient,,
understreke,tr,nsubj-obj,de understreker hovedpåstandene,agent,topic,,
understreke,tr,nsubj-obj,rapporten understreker hovedpåstandene,pivot,topic,,
understreke,tr-obDECL,nsubj-ccomp,rapporten understreker at problemet består,pivot,topic,,
understreke,tr-obDECL,nsubj-ccomp,vi understreker at problemet består,agent,topic,,
understreke,tr-obINTERR,nsubj-ccomp,de understreker hvorvidt problemet består,agent,topic,,
understreke,tr-obINTERR,nsubj-ccomp,rapporten understreker hvorvidt problemet består,pivot,topic,,
understryke,tr,nsubj-obj,de understryker tekstavsnittet,agent,topic,,
understryke,tr,nsubj-obj,rapporten understryker tekstavsnittet,pivot,topic,,
understryke,tr-obDECL,nsubj-ccomp,rapporten understryker at problemet består,pivot,topic,,
understryke,tr-obDECL,nsubj-ccomp,vi understryker at problemet består,agent,topic,,
understryke,tr-obINTERR,nsubj-ccomp,de understryker hvorvidt problemet består,agent,topic,,
understryke,tr-obINTERR,nsubj-ccomp,rapporten understryker hvorvidt problemet består,pivot,topic,,
understøtte,tr,nsubj-obj,de understøtter befolkningen,agent,beneficiary,,
understøtte,tr,nsubj-obj,rapporten understøtter prediksjonen,pivot,theme,,
understå,ditr-iobRefl,nsubj-iobj-obj,hun understår seg nye krav,agent,null-role,theme,
understå-til,trobl-obrefl-obleqobinf,nsubj-obj-advcl,de understår seg til å protestere,agent,null-role,theme,
understå-til,trObl-obRefl-oblN,nsubj-obj-obl,hun understår seg til falsk forklaring,agent,null-role,theme,
undersøke,tr,nsubj-obj,de undersøker saken,agent,theme,,
undersøke,tr-obDECL,nsubj-ccomp,vi undersøker at problemet fortsatt består,agent,theme,,
undersøke,tr-obINTERR,nsubj-ccomp,de undersøker hvorvidt det er hold i påstanden,agent,theme,,
undertegne,tr,nsubj-obj,hun undertegner dokumentet,agent,destination,,
undertrykke,tr,nsubj-obj,de undertrykker befolkningen,agent,patient,,
undertvinge,ditr-iobRefl,nsubj-iobj-obj,de undertvinger seg landsbybefolkningen,agent,null-role,patient,
undertvinge,tr,nsubj-obj,de undertvinger demonstrantene,agent,patient,,
underutvikle,tr,nsubj-obj,de underutvikler produktet,agent,product,,
undervise-i,intrObl-oblAbsinf,nsubj-advcl,vi underviser i å programmere,agent,topic,,
undervise-i,intrObl-oblN,nsubj-obl,vi underviser i regnskapsføring,agent,topic,,
undervise,intr,nsubj,lærerne underviser,agent,,,
undervise-i,trObl-oblEqObInf,nsubj-obj-advcl,vi underviser dem i å programmere,agent,recipient,topic,
undervise-i,trObl-oblN,nsubj-obj-obl,vi underviser dem i programmering,agent,recipient,topic,
undervise,tr,nsubj-obj,vi underviser flyktningene,agent,recipient,,
undervurdere,tr,nsubj-obj,de undervurderer demonstrantene,agent,theme,,
undervurdere,tr-obINTERR,nsubj-ccomp,de undervurderer hva vi kan gjøre,agent,theme,,
undre,ditr-iobRefl-obINTERRwh,nsubj-iobj-ccomp,han undrer seg hvem som kommer,experiencer,null-role,stimulus,
undre,ditr-iobRefl-obINTERRyn,nsubj-iobj-ccomp,han undrer seg om vi kommer,experiencer,null-role,stimulus,
undre-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun undrer seg over at vi kommer,experiencer,null-role,stimulus,
undre-over,trobl-obrefl-obleqobinf,nsubj-obj-advcl,hun undrer seg over å være på feil klode,experiencer,null-role,stimulus,
undre-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun undrer seg over hvem som kommer,experiencer,null-role,stimulus,
undre-over,trObl-obRefl-oblN,nsubj-obj-obl,hun undrer seg over demonstrantene,experiencer,null-role,stimulus,
undres,intr,nsubj,filosofene undres,experiencer,,,
undres-over,intrObl-oblDECL,nsubj-advcl,hun undres over at vi kommer,experiencer,stimulus,,
undres-over,intrObl-oblINTERR,nsubj-advcl,hun undres over hvem som kommer,experiencer,stimulus,,
undres-over,intrObl-oblN,nsubj-obl,vi undres over nyheten,experiencer,stimulus,,
undres,tr-obINTERR,nsubj-ccomp,hun undres hvem som kommer,experiencer,stimulus,,
undre,trExpnSu-expnDECL,expl-obj-csubj,det undrer dem at du kommer,formal,experiencer,stimulus,
undre,tr-obRefl,nsubj-obj,hun undrer seg,experiencer,null-role,,
undre,tr-suDECL,csubj-obj,at det regner undrer dem,stimulus,experiencer,,
uniformere,tr,nsubj-obj,skolen uniformerer elevene,agent,patient,,
uniformere,tr-obRefl,nsubj-obj,elevene uniformerer seg,agent,patient,,
unionisere,tr,nsubj-obj,vi unioniserer landene,agent,patient,,
unique_leie,tr,nsubj-obj,vi leier lokalene,agent,theme,,
universalisere,tr,nsubj-obj,de universaliserer koden,agent,patient,,
unnbe,ditr-iobRefl,nsubj-iobj-obj,hun unnber seg hjelp,agent,null-role,theme,
unndra,ditr-iobRefl,nsubj-iobj-obj,hun unndrar seg kontroll,agent,null-role,theme,
unndra-fra,trObl-oblN,nsubj-obj-obl,vi unndrar regnskapet fra offentlighet,agent,patient,beneficiary,
unndra-fra,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun unndrar seg fra å vise regnskapet,agent,null-role,theme,
unndra-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun unndrar seg fra kontroll,agent,null-role,theme,
unndra,tr,nsubj-obj,de unndrar dokumentene,agent,theme,,
unne,ditr-iobRefl,nsubj-iobj-obj,hun unner seg et glass vin,agent,beneficiary,theme,
unne,ditr-iobRefl-obEqIobInf,nsubj-iobj-xcomp,hun unner dem å få være med,agent,beneficiary,theme,
unne,ditr,nsubj-iobj-obj,hun unner deg fremgangen,agent,beneficiary,theme,
unne,ditr-obEqIobInf,nsubj-iobj-xcomp,hun unner seg å gjøre ingenting,agent,beneficiary,theme,
unnfange,tr,nsubj-obj,de unnfanger et barn,agent,patient,,
unnfange,tr,nsubj-obj,de unnfanger nye ideer,agent,result,,
unnfly,tr,nsubj-obj,de unnflyr konsekvensene,agent,theme,,
unngjelde-for,intrObl-oblDECL,nsubj-advcl,de unngjelder for at de var for ivrige,beneficiary,cause,,
unngjelde-for,intrObl-oblEqSuInf,nsubj-advcl,de unngjelder for å ha vært for ivrige,beneficiary,cause,,
unngjelde-for,intrObl-oblINTERR,nsubj-advcl,de unngjelder for hva de har gjort,beneficiary,cause,,
unngjelde-for,intrObl-oblN,nsubj-obl,vi unngjelder for feilen,beneficiary,cause,,
unngjelde,intr,nsubj,deltagerne unngjelder,beneficiary,,,
unngå,tr,nsubj-obj,ledelsen unngår deltagerne,agent,theme,,
unngå,tr-obDECL,nsubj-ccomp,vi unngår at problemet blir kjent,agent,theme,,
unngå,tr-obEqSuInf,nsubj-xcomp,vi unngår å bli gjenkjent,agent,theme,,
unnkomme-fra,intrObl-oblN,nsubj-obl,vi unnkommer fra katastrofen,theme,source,,
unnlate,tr-obEqSuInf,nsubj-xcomp,hun unnlater å melde seg,agent,theme,,
unnse,tr-obRefl,nsubj-obj,hun unnser seg,experiencer,null-role,,
unnsette,tr,nsubj-obj,de unnsetter de forulykkede,agent,beneficiary,,
unnsi,tr,nsubj-obj,de unnsir grunnloven,agent,theme,,
unnskylde-for,trObl-oblDECL,nsubj-obj-advcl,forholdene unnskylder dem for at de sa sannheten,pivot,beneficiary,topic,
unnskylde-for,trObl-oblDECL,nsubj-obj-advcl,vi unnskylder dem for at de sa sannheten,agent,theme,attribute,
unnskylde-for,trObl-oblEqObInf,nsubj-obj-advcl,forholdene unnskylder dem for å ha forsinket reisen,pivot,beneficiary,topic,
unnskylde-for,trObl-oblEqObInf,nsubj-obj-advcl,vi unnskylder dem for å ha forsinket reisen,agent,theme,attribute,
unnskylde-for,trObl-oblN,nsubj-obj-obl,de unnskylder ham for hendelsen,agent,theme,attribute,
unnskylde-for,trObl-oblN,nsubj-obj-obl,været unnskylder ham for hendelsen,pivot,beneficiary,topic,
unnskylde-for,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun unnskylder seg for at problemet oppsto,agent,null-role,topic,
unnskylde-for,trobl-obrefl-obleqobinf,nsubj-obj-advcl,hun unnskylder seg for å stille utidige spørsmål,agent,null-role,topic,
unnskylde-for,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun unnskylder seg for hva hun gjorde,agent,null-role,topic,
unnskylde-for,trObl-obRefl-oblN,nsubj-obj-obl,hun unnskylder seg for forsinkelsen,agent,null-role,topic,
unnskylde,tr,nsubj-obj,de unnskylder handlingen,agent,topic,,
unnskylde,tr,nsubj-obj,forholdene unnskylder handlingen,pivot,topic,,
unnskylde,tr-obDECL,nsubj-ccomp,vi unnskylder at du glemte det hele,agent,topic,,
unnskylde,tr-obDECL,nsubj-ccomp,været unnskylder at du glemte det hele,pivot,topic,,
unnskylde,tr-obRefl,nsubj-obj,hun unnskylder seg,agent,null-role,,
unnsleppe,intr,nsubj,tyvene unnslepper,theme,,,
unnsleppe,tr,nsubj-obj,de unnslepper fengselet,theme,source,,
unnsleppe,tr,nsubj-obj,de unnslepper tiltalen,agent,theme,,
unnsleppe,tr-obDECL,nsubj-ccomp,de unnslepper at det reises tiltale,agent,theme,,
unnsleppe,tr-obEqSuInf,nsubj-xcomp,de unnslepper å bli tiltalt,agent,theme,,
unnslippe,intr,nsubj,tyvene unnslipper,theme,,,
unnslippe,tr,nsubj-obj,de unnslipper fengselet,agent,theme,,
unnslippe,tr,nsubj-obj,de unnslipper tiltale,theme,source,,
unnslippe,tr-obDECL,nsubj-ccomp,de unnslipper at det reises tiltale,agent,theme,,
unnslippe,tr-obEqSuInf,nsubj-xcomp,de unnslipper å bli tiltalt,agent,theme,,
unnslå,tr-obRefl,nsubj-obj,hun unnslår seg,agent,null-role,,
unnta-fra,trObl-oblEqObInf,nsubj-obj-advcl,alderen unntar ham fra å måtte melde seg,pivot,beneficiary,topic,
unnta-fra,trObl-oblEqObInf,nsubj-obj-advcl,vi unntar ham fra å måtte melde seg,agent,beneficiary,theme,
unnta-fra,trObl-oblN,nsubj-obj-obl,alderen unntar ham fra meldeplikt,pivot,beneficiary,topic,
unnta-fra,trObl-oblN,nsubj-obj-obl,vi unntar ham fra meldeplikt,agent,beneficiary,theme,
unnta,tr,nsubj-obj,de unntar følgefeil,agent,theme,,
unnta,tr,nsubj-obj,forbudet unntar ambulanse,pivot,theme,,
unnvike,tr,nsubj-obj,de unnviker konflikt,agent,theme,,
unnvære,tr,nsubj-obj,barna unnværer foreldrene,agent,theme,,
upersonliggjøre,tr,nsubj-obj,de upersonliggjør karakteren,agent,patient,,
urbanisere,tr,nsubj-obj,de urbaniserer landsbygda,agent,patient,,
urframføre,tr,nsubj-obj,de urframfører komposisjonen,agent,theme,,
urfremføre,tr,nsubj-obj,de urfremfører komposisjonen,agent,theme,,
urgere,tr,nsubj-obj,de urgerer de gamle observasjoner,agent,topic,,
urinere,intr,nsubj,urinnvånerne urinerer,agent,,,
uroe-for,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun uroer seg for at det skal bli kjent,experiencer,null-role,stimulus,
uroe-for,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun uroer seg for å bli gjenkjent,experiencer,null-role,stimulus,
uroe-for,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun uroer seg for hva som skal skje,experiencer,null-role,stimulus,
uroe-for,trObl-obRefl-oblN,nsubj-obj-obl,hun uroer seg for barna,experiencer,null-role,stimulus,
uroe-over,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun uroer seg over at epidemien kommer,experiencer,null-role,stimulus,
uroe-over,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun uroer seg over å bli gjenkjent,experiencer,null-role,stimulus,
uroe-over,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun uroer seg over hva som skal skje,experiencer,null-role,stimulus,
uroe-over,trObl-obRefl-oblN,nsubj-obj-obl,hun uroer seg over nyheten,experiencer,null-role,stimulus,
uroe,tr,nsubj-obj,nyheten uroer befolkningen,stimulus,experiencer,,
uroe,tr-obRefl,nsubj-obj,befolkningen uroer seg,experiencer,null-role,,
uroppføre,tr,nsubj-obj,de uroppfører skuespillet,agent,theme,,
uskadeliggjøre,tr,nsubj-obj,de uskadeliggjør demonstrantene,agent,patient,,
usurpere,tr,nsubj-obj,de usurperer bøndene,agent,source,,
usynliggjøre,tr,nsubj-obj,de usynliggjør demonstrantene,agent,patient,,
utagere,intr,nsubj,ledelsen utagerer,agent,,,
utarbeide,tr,nsubj-obj,deonstrantene utarbeider et lovutkast,agent,result,,
utarme,tr,nsubj-obj,de utarmer jorden,agent,patient,,
utarte,intr,nsubj,opptøyene utarter,patient,,,
utarte-til,intrObl-oblEqSuInf,nsubj-advcl,opptøyene utarter til å bli revolusjon,patient,null-role,result,
utarte-til,intrObl-oblN,nsubj-obl,opptøyene utarter til revolusjon,patient,null-role,result,
utarte-til,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,opptøyene utarter seg til å bli revolusjon,patient,null-role,result,
utarte-til,trObl-obRefl-oblN,nsubj-obj-obl,opptøyene utarter seg til revolusjon,patient,null-role,result,
utause-av,trObl-oblN,nsubj-obj-obl,de utauser av båten,agent,source,,
utause,tr,nsubj-obj,de utauser båten,agent,source,,
utbasunere,tr,nsubj-obj,de utbasunerer nederlaget,agent,topic,,
utbasunere,tr-obDECL,nsubj-ccomp,de utbasunerer at jeg tapte,agent,topic,,
utbasunere,tr-obINTERR,nsubj-ccomp,de utbasunerer hvem som tapte,agent,topic,,
utbe,ditr-iobRefl,nsubj-iobj-obj,hun utber seg en tjeneste,agent,null-role,topic,
utbe,ditr-iobRefl-obEqIobInf,nsubj-iobj-xcomp,hun utber seg å motta en tjeneste,agent,null-role,topic,
utbedre,tr,nsubj-obj,de utbedrer veiene,agent,patient,,
utbetale,ditr,nsubj-iobj-obj,hun utbetaler oss penger,agent,recipient,asset,
utbetale-til,trObl-oblN,nsubj-obj-obl,de utbetaler pengene til meg,agent,asset,recipient,
utbetale,tr,nsubj-obj,de utbetaler pengene,agent,asset,,
utbe,tr,nsubj-obj,de utber en skål,agent,theme,,
utbombe,tr,nsubj-obj,de utbomber byene,agent,patient,,
utbreie,tr,nsubj-obj,de utbreier smitten,agent,theme,,
utbreie,trObl-obRefl-oblLoc,nsubj-obj-obl,smitten utbreier seg her,theme,null-role,location,
utbreie,tr-obRefl,nsubj-obj,smitten utbreier seg,theme,null-role,,
utbre,tr-obDir,nsubj-obj-obl,de utbrer smitten til andre land,agent,theme,destination,
utbre,trObl-obRefl-oblLoc,nsubj-obj-obl,smitten utbrer seg i hele området,theme,null-role,location,
utbre,tr-obRefl,nsubj-obj,smitten utbrer seg,theme,null-role,,
utbringe,tr,nsubj-obj,de utbringer en skål,agent,theme,,
utbrodere,tr,nsubj-obj,de utbroderer fremstillingen,agent,theme,,
utbryte,intr,nsubj,epidemien utbryter,theme,,,
utbryte,tr,nsubj-obj,han utbryter en ed,agent,topic,,
utbryte,tr-obDECL,nsubj-ccomp,hun utbryter at det haster,agent,topic,,
utbygge,tr,nsubj-obj,de utbygger området,agent,destination,,
utby-til,trObl-oblN,nsubj-obj-obl,vi utbyr eiendommene til salgs,agent,theme,result,
utby,tr,nsubj-obj,de utbyr eiendommer,agent,theme,,
utbytte,tr,nsubj-obj,de utbytter befolkningen,agent,theme,,
utdanne-til,trObl-oblEqObInf,nsubj-obj-advcl,vi utdanner dem til å bli montører,agent,recipient,result,
utdanne-til,trObl-oblN,nsubj-obj-obl,vi utdanner dem til montører,agent,recipient,result,
utdanne-til,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun utdanner seg til å bli montør,agent,null-role,result,
utdanne-til,trObl-obRefl-oblN,nsubj-obj-obl,hun utdanner seg til montør,agent,null-role,result,
utdanne,tr,nsubj-obj,de utdanner lærere,agent,recipient,,
utdanne,tr-obRefl,nsubj-obj,hun utdanner seg,agent,null-role,,
utdatere,tr,nsubj-obj,den nye utgaven utdaterer den gamle,agent,patient,,
utdebattere,tr,nsubj-obj,de utdebatterer saken,agent,topic,,
utdele-til,trObl-oblN,nsubj-obj-obl,de utdeler arvedelene til alle i familien,agent,theme,recipient,
utdele,tr,nsubj-obj,de utdeler pengene,agent,theme,,
utdjupe,tr,nsubj-obj,de utdjuper innholdet,agent,topic,,
